Customer_ID,Company_Name,Sector,Geography,Credit_Rating,Portfolio_Value,Relationship_Start,Customer_Type,Market_Cap_Millions,Listed_Status,Employee_Count,Revenue_Millions
CUST_001,TechCorp Industries,IT,India,AA,49.75,2018-01-15,Large Cap,25000,Listed,12000,5800
CUST_002,InfraMax Limited,Infrastructure,India,BBB,49.45,2019-03-22,Large Cap,15000,Listed,8500,3200
CUST_003,RetailHub Pvt Ltd,FMCG,APAC,A,49.65,2020-06-10,Mid Cap,8000,Listed,5200,1800
CUST_004,MedPharma Solutions,Pharmaceutical,Global,AA,49.82,2017-11-08,Large Cap,18000,Listed,9800,4200
CUST_005,AutoMotion Corp,Auto,EU,BB,49.35,2021-02-14,Mid Cap,6500,Listed,4100,2100
CUST_006,FinServe Bank Ltd,Financial Services,India,AAA,49.88,2016-05-20,Large Cap,35000,Listed,15000,8500
CUST_007,GreenEnergy Corp,Infrastructure,Global,A,49.72,2019-08-12,Large Cap,12000,Listed,6800,2800
CUST_008,FoodChain Ltd,FMCG,India,BBB,49.52,2020-01-18,Mid Cap,4500,Listed,3200,1400
CUST_009,SteelWorks Industries,Manufacturing,India,BB,49.28,2018-12-05,Mid Cap,7200,Listed,8900,2650
CUST_010,HealthCare Plus,Pharmaceutical,APAC,A,49.68,2017-07-14,Large Cap,9500,Listed,4800,2200
CUST_011,TechStart Innovation,IT,US,B,49.15,2022-03-08,Small Cap,2800,Listed,1500,650
CUST_012,RealEstate Developers,Real Estate,India,C,48.95,2021-09-22,Mid Cap,3200,Listed,2100,980
CUST_013,ChemicalPro Ltd,Chemical,EU,BBB,49.38,2019-11-30,Mid Cap,5800,Listed,4200,1850
CUST_014,AgriTech Solutions,Agriculture,India,BB,49.22,2020-04-16,Mid Cap,3800,Listed,2800,1200
CUST_015,LogiTransport Corp,Transportation,Global,A,49.58,2018-06-28,Large Cap,8900,Listed,5500,2400
CUST_016,RetailChain Stores,Retail,India,BBB,49.41,2019-02-14,Mid Cap,6200,Listed,12000,3100
CUST_017,TeleConnect Services,Telecommunications,APAC,A,49.71,2017-10-05,Large Cap,14000,Listed,8800,4800
CUST_018,PowerGrid Systems,Utilities,India,AA,49.79,2016-12-11,Large Cap,22000,Listed,7200,6200
CUST_019,MiningCorp Ltd,Mining,Global,BB,49.31,2020-08-07,Large Cap,11000,Listed,9500,3800
CUST_020,FashionBrand Inc,Textiles,EU,B,49.08,2021-12-19,Small Cap,2100,Listed,1800,450
CUST_021,CloudTech Solutions,IT,US,A,49.62,2019-04-25,Mid Cap,7800,Listed,3400,1950
CUST_022,ConstructBuild Ltd,Construction,India,C,48.88,2022-01-30,Mid Cap,4100,Listed,5200,1680
CUST_023,BioTech Research,Pharmaceutical,Global,AA,49.84,2016-08-17,Large Cap,16500,Listed,3200,3800
CUST_024,FoodProcess Industries,FMCG,India,BBB,49.49,2018-11-03,Mid Cap,5400,Listed,4800,2100
CUST_025,SolarPower Corp,Renewable Energy,APAC,A,49.66,2020-07-21,Large Cap,9800,Listed,2800,2650
CUST_026,MetalWorks Ltd,Metals,India,BB,49.24,2019-05-09,Mid Cap,6800,Listed,7400,2980
CUST_027,InsuranceFirst Corp,Financial Services,EU,A,49.73,2017-03-14,Large Cap,13200,Listed,9200,5200
CUST_028,WaterTreat Solutions,Utilities,Global,BBB,49.44,2020-10-26,Mid Cap,4900,Listed,2100,1380
CUST_029,AeroSpace Tech,Aerospace,US,AA,49.81,2018-02-08,Large Cap,19800,Listed,8500,4650
CUST_030,PlasticMfg Corp,Chemical,India,B,49.12,2021-06-15,Small Cap,2950,Listed,1950,780
CUST_031,HospitalChain Ltd,Healthcare,India,A,49.69,2017-09-22,Large Cap,8400,Listed,15000,3200
CUST_032,ShippingLine Corp,Transportation,Global,BBB,49.47,2019-12-04,Large Cap,7600,Listed,4200,2850
CUST_033,GasDistribution Ltd,Oil & Gas,APAC,BB,49.29,2020-03-18,Mid Cap,5200,Listed,3800,1950
CUST_034,SportsBrand Inc,Consumer Goods,EU,B,49.06,2022-05-12,Small Cap,1850,Listed,1200,420
CUST_035,EdTech Platform,Education,India,A,49.64,2018-08-29,Mid Cap,4600,Listed,2200,980
CUST_036,CleanTech Industries,Environmental,Global,AA,49.77,2016-11-16,Large Cap,12800,Listed,3800,3450
CUST_037,PackagingCorp Ltd,Packaging,India,BBB,49.43,2019-07-02,Mid Cap,3800,Listed,2800,1250
CUST_038,GameDev Studios,Entertainment,US,B,49.11,2021-11-28,Small Cap,1200,Listed,850,280
CUST_039,CoffeChain Retail,F&B,APAC,BBB,49.39,2020-02-15,Mid Cap,2950,Listed,8500,1680
CUST_040,MachineTool Corp,Manufacturing,EU,A,49.61,2018-04-11,Mid Cap,6100,Listed,4200,2180
CUST_041,DataCenter Services,IT,Global,AA,49.78,2017-01-26,Large Cap,15800,Listed,2800,4100
CUST_042,CementWorks Ltd,Construction Materials,India,BB,49.26,2019-09-13,Large Cap,8900,Listed,6200,3850
CUST_043,WirelessTech Corp,Telecommunications,US,A,49.63,2020-12-07,Mid Cap,7200,Listed,3200,2450
CUST_044,OrganicFarms Ltd,Agriculture,India,B,49.09,2021-08-24,Small Cap,980,Listed,1500,380
CUST_045,LuxuryHotels Chain,Hospitality,EU,BBB,49.42,2018-10-17,Mid Cap,4200,Listed,5800,1890
CUST_046,SemiconductorTech,Electronics,APAC,AA,49.83,2016-06-03,Large Cap,21500,Listed,5200,5800
CUST_047,WasteManage Corp,Environmental,Global,A,49.67,2019-01-19,Mid Cap,3800,Listed,2100,1420
CUST_048,FurnitureDesign Ltd,Furniture,India,C,48.92,2022-02-28,Small Cap,1650,Listed,1800,520
CUST_049,AluminumCorp Ltd,Metals,EU,BB,49.25,2020-05-14,Mid Cap,5800,Listed,4800,2380
CUST_050,CloudSecurity Inc,Cybersecurity,US,A,49.65,2018-12-20,Mid Cap,6500,Listed,1850,1750
